"","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn"
"1301","No","Yes","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",110.6,7962.2,"No"
"1302","No","Yes","Yes",66,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Two year","Yes","Credit card (automatic)",58.2,3810.8,"No"
"1303","No","Yes","Yes",45,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Mailed check",81,3533.6,"No"
"1304","No","Yes","Yes",69,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",19.7,1396.9,"No"
"1305","Yes","Yes","No",15,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",85.6,1345.55,"Yes"
"1306","No","No","No",28,"Yes","No","DSL","No","No","Yes","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",59.55,1646.45,"No"
"1307","No","No","No",70,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Credit card (automatic)",115.55,8127.6,"Yes"
"1312","No","Yes","Yes",42,"No","No","DSL","No","Yes","Yes","No","No","Yes","One year","Yes","Credit card (automatic)",45.1,2049.05,"No"
"1314","No","Yes","No",47,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",109.55,5124.55,"Yes"
"1317","No","No","No",7,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",19.95,147.5,"No"
"1320","No","No","Yes",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",19.45,19.45,"Yes"
"1324","No","Yes","No",71,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",24.65,1710.15,"No"
"1327","No","Yes","Yes",43,"No","No","DSL","Yes","Yes","No","Yes","Yes","No","One year","Yes","Bank transfer (automatic)",51.25,2151.6,"No"
"1328","No","Yes","No",59,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",99.5,5961.1,"Yes"
"1330","No","Yes","No",72,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",19.4,1496.45,"No"
"1334","No","No","No",50,"No","No","DSL","Yes","No","No","Yes","No","No","One year","Yes","Mailed check",35.4,1748.9,"No"
"1337","No","Yes","No",15,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",75.35,1114.55,"No"
"1338","No","No","No",31,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",20.4,609.1,"No"
"1340","No","Yes","No",66,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",105,7133.25,"Yes"
"1342","No","No","Yes",3,"Yes","No","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",54.7,169.45,"Yes"
"1348","No","No","No",19,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Mailed check",19.95,373.5,"No"
"1355","No","No","No",18,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",88.35,1639.3,"Yes"
"1356","No","No","No",9,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",19.5,178.85,"No"
"1362","No","No","No",4,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",78.45,330.05,"Yes"
"1366","No","Yes","No",59,"No","No","DSL","No","Yes","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",41.05,2452.7,"Yes"
"1367","No","Yes","No",10,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",85.6,813.85,"Yes"
"1368","Yes","Yes","No",61,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",82.15,4904.85,"No"
"1372","Yes","No","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",79.2,79.2,"Yes"
"1373","No","No","No",23,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","No","Mailed check",95.3,2192.9,"No"
"1375","No","Yes","Yes",45,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Mailed check",84.35,3858.05,"No"
"1377","No","No","No",5,"Yes","No","DSL","No","No","Yes","No","Yes","Yes","One year","Yes","Mailed check",70,347.4,"Yes"
"1378","No","Yes","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","No","Bank transfer (automatic)",82.3,5815.15,"No"
"1380","No","No","No",70,"No","No","DSL","Yes","Yes","Yes","Yes","No","No","Two year","Yes","Bank transfer (automatic)",44.6,3058.15,"No"
"1381","No","Yes","Yes",61,"Yes","No","Fiber optic","No","Yes","No","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",98.45,6145.2,"No"
"1389","No","Yes","Yes",12,"Yes","No","DSL","No","No","Yes","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",58.35,740.55,"No"
"1394","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.35,20.35,"No"
"1399","No","No","No",24,"Yes","Yes","Fiber optic","Yes","No","No","Yes","No","No","Month-to-month","Yes","Electronic check",84.35,1938.05,"No"
"1400","No","Yes","Yes",14,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",19.55,294.5,"No"
"1401","No","No","Yes",3,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.95,58.3,"No"
"1402","Yes","No","No",4,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.8,442.85,"Yes"
"1404","No","No","No",8,"Yes","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",66.25,546.45,"No"
"1406","No","No","No",1,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",76,76,"Yes"
"1408","No","No","Yes",8,"No","No","DSL","Yes","No","No","Yes","No","Yes","Two year","Yes","Mailed check",44.55,343.45,"No"
"1410","No","Yes","Yes",43,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",92.55,4039,"No"
"1412","Yes","No","No",29,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",101.45,2948.6,"No"
"1413","No","Yes","No",15,"Yes","No","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",84.3,1308.4,"Yes"
"1414","No","Yes","Yes",65,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Two year","No","Credit card (automatic)",94.55,6078.75,"No"
"1415","No","No","No",35,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","No","Month-to-month","No","Electronic check",95.5,3418.2,"No"
"1418","Yes","No","No",18,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",49.85,865.75,"No"
"1419","No","Yes","Yes",67,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",89.55,6373.1,"No"
"1421","No","Yes","No",60,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.8,5985.75,"No"
"1422","Yes","No","No",9,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",84.4,732.5,"Yes"
"1423","No","Yes","Yes",70,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",113.05,7869.05,"No"
"1424","No","Yes","No",15,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",101.1,1504.05,"Yes"
"1426","No","Yes","No",12,"Yes","No","DSL","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",74.15,741.4,"No"
"1439","No","No","No",40,"Yes","No","DSL","No","No","Yes","No","No","No","One year","Yes","Mailed check",50.25,2023.55,"No"
"1440","Yes","No","No",5,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",75.55,349.65,"Yes"
"1442","Yes","Yes","No",58,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",97.8,5458.8,"No"
"1443","No","Yes","Yes",52,"Yes","No","Fiber optic","Yes","No","Yes","No","Yes","Yes","One year","No","Electronic check",100.3,5244.45,"No"
"1444","No","Yes","No",3,"Yes","No","DSL","No","No","Yes","Yes","No","No","Month-to-month","Yes","Mailed check",55.8,154.55,"No"
"1445","No","No","Yes",41,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",111.15,4507.15,"No"
"1446","No","No","No",20,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Mailed check",98.55,2031.95,"No"
"1447","No","No","Yes",1,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",50.05,50.05,"No"
"1448","No","No","Yes",4,"Yes","Yes","Fiber optic","No","No","No","Yes","No","No","Month-to-month","No","Credit card (automatic)",80.8,332.45,"Yes"
"1450","Yes","No","No",6,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",19.5,106.8,"No"
"1452","No","No","No",18,"Yes","Yes","DSL","Yes","No","Yes","No","Yes","No","Month-to-month","No","Mailed check",69.5,1199.4,"No"
"1454","No","No","No",31,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.5,2979.2,"No"
"1456","No","Yes","No",36,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","Yes","Two year","Yes","Credit card (automatic)",106.05,3834.4,"No"
"1459","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Electronic check",20.55,20.55,"Yes"
"1460","No","No","No",60,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Electronic check",99.65,5941.05,"No"
"1461","No","No","No",5,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",85.3,424.15,"Yes"
"1462","No","Yes","No",22,"Yes","Yes","Fiber optic","Yes","No","No","Yes","Yes","No","Month-to-month","No","Credit card (automatic)",95.9,2234.95,"No"
"1466","No","Yes","Yes",1,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","No","Credit card (automatic)",74.6,74.6,"No"
"1467","No","Yes","Yes",12,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",49.2,571.15,"No"
"1468","No","No","No",23,"Yes","Yes","DSL","No","No","No","Yes","Yes","Yes","One year","Yes","Mailed check",73.75,1756.6,"No"
"1475","No","Yes","Yes",45,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",95.95,4456.65,"No"
"1476","Yes","Yes","No",69,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","Two year","No","Credit card (automatic)",105.4,6998.95,"No"
"1477","No","No","No",2,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.25,36.8,"No"
"1478","No","Yes","Yes",61,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",106,6547.7,"Yes"
"1483","Yes","No","No",13,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",96.85,1235.55,"No"
"1485","Yes","Yes","No",71,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Electronic check",99.2,7213.75,"No"
"1488","No","No","No",56,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Electronic check",106.8,5914.4,"No"
"1489","No","No","No",1,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",51.25,51.25,"No"
"1490","No","Yes","Yes",23,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","One year","Yes","Mailed check",57.75,1282.85,"No"
"1493","Yes","No","No",19,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",88.2,1775.8,"Yes"
"1496","No","Yes","Yes",52,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","Yes","Month-to-month","No","Bank transfer (automatic)",98.15,4993.4,"No"
"1498","No","Yes","Yes",51,"Yes","No","Fiber optic","Yes","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",79.15,4018.55,"No"
"1507","No","Yes","No",68,"No","No","DSL","Yes","No","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",54.1,3794.5,"No"
"1514","Yes","No","No",1,"No","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",25.8,25.8,"Yes"
"1515","No","No","Yes",63,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",19.5,1215.1,"No"
"1517","No","Yes","No",17,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",92.6,1579.7,"No"
"1519","No","No","No",5,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",20.55,96.1,"No"
"1521","No","Yes","No",3,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",19.6,55.25,"No"
"1522","No","No","No",37,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","One year","No","Electronic check",67.45,2443.3,"No"
"1523","No","No","No",29,"Yes","No","DSL","Yes","Yes","Yes","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",68.85,1970.5,"Yes"
"1524","No","No","No",8,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",43.55,335.4,"No"
"1528","No","Yes","Yes",72,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",21,1493.75,"No"
"1531","No","Yes","Yes",2,"Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes","Month-to-month","No","Credit card (automatic)",90,190.05,"Yes"
"1533","No","No","No",14,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",19.6,300.4,"No"
"1534","No","No","No",14,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","No","Electronic check",75.35,1025.95,"Yes"
"1535","No","Yes","Yes",69,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",19.8,1436.95,"No"
"1537","No","Yes","Yes",69,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","Bank transfer (automatic)",75.75,5388.15,"No"
"1541","No","Yes","Yes",63,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",80.3,4896.35,"No"
"1543","No","No","No",46,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Electronic check",21.1,937.1,"No"
"1547","No","No","No",60,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",19.85,1128.1,"No"
"1549","No","Yes","Yes",25,"Yes","No","Fiber optic","No","No","No","Yes","Yes","No","Month-to-month","No","Electronic check",85.9,2199.05,"No"
"1551","Yes","Yes","No",6,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",80.8,457.1,"No"
"1560","No","No","No",2,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.35,45.3,"No"
"1562","No","No","No",1,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.95,74.95,"Yes"
"1563","No","Yes","Yes",7,"No","No","DSL","Yes","No","No","Yes","No","No","Month-to-month","No","Mailed check",34.65,246.6,"No"
"1564","Yes","No","No",4,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",69.35,261.65,"No"
"1566","No","No","No",55,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",81.55,4509.5,"No"
"1568","No","Yes","No",10,"Yes","No","DSL","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",67.8,653.15,"No"
"1569","Yes","No","No",11,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",111.4,1183.05,"No"
"1570","No","Yes","Yes",15,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",46.3,639.45,"No"
"1571","No","Yes","Yes",23,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",20.4,478.75,"No"
"1572","No","No","Yes",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.05,20.05,"No"
"1576","No","No","No",66,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","No","Electronic check",99.5,6710.5,"Yes"
"1577","Yes","Yes","No",68,"Yes","No","DSL","No","Yes","Yes","Yes","No","No","One year","Yes","Bank transfer (automatic)",60.65,3975.9,"No"
"1578","No","Yes","Yes",17,"Yes","No","Fiber optic","No","No","Yes","Yes","Yes","Yes","One year","No","Bank transfer (automatic)",98.6,1704.95,"Yes"
"1579","No","No","No",7,"Yes","No","DSL","No","No","No","Yes","Yes","No","Month-to-month","Yes","Mailed check",59.5,415.95,"Yes"
"1584","No","Yes","Yes",6,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",48.95,273.25,"No"
"1585","Yes","No","No",65,"No","No","DSL","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",53.5,3517.9,"No"
"1587","No","Yes","Yes",68,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",109.05,7508.55,"No"
"1588","No","Yes","Yes",48,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",26.3,1245.05,"No"
"1589","Yes","No","No",50,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","One year","Yes","Electronic check",106.8,5347.95,"No"
"1590","Yes","No","No",7,"Yes","No","DSL","No","Yes","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",64.95,493.65,"No"
"1593","No","Yes","Yes",42,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",77.95,3384,"Yes"
"1596","Yes","No","No",2,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",74.7,165.4,"Yes"
"1599","No","Yes","No",27,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",19.55,520.55,"No"
"1600","No","Yes","Yes",70,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",80.4,5717.85,"No"
"1602","No","Yes","No",46,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","One year","Yes","Electronic check",94.65,4312.5,"No"
"1603","No","No","No",30,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",90.25,2755.35,"Yes"
"1606","No","No","No",65,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Credit card (automatic)",19.55,1218.65,"No"
"1607","Yes","Yes","Yes",72,"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",104.1,7447.7,"No"
"1608","Yes","Yes","No",13,"Yes","No","Fiber optic","No","Yes","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",89.05,1169.35,"Yes"
"1609","No","No","No",17,"Yes","No","No","No","No","No","No","No","No","One year","Yes","Mailed check",20.1,279.5,"No"
"1611","No","Yes","Yes",51,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Two year","No","Credit card (automatic)",60.5,3121.45,"No"
"1615","No","Yes","No",67,"No","No","DSL","Yes","Yes","No","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",50.95,3521.7,"No"
"1620","No","No","No",69,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","Yes","Credit card (automatic)",81.5,5553.25,"No"
"1621","No","Yes","Yes",2,"No","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",29.05,44.75,"No"
"1624","No","No","No",54,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",97.2,5129.45,"No"
"1625","No","Yes","No",56,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",98.25,5508.35,"Yes"
"1628","No","No","No",11,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",75.9,866.4,"No"
"1630","No","Yes","No",68,"Yes","No","DSL","Yes","Yes","Yes","No","No","Yes","Two year","No","Bank transfer (automatic)",70.95,4741.45,"No"
"1631","Yes","Yes","No",38,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",102.6,4009.2,"No"
"1636","No","No","No",3,"Yes","No","DSL","No","No","Yes","No","Yes","Yes","One year","Yes","Electronic check",69.95,220.45,"No"
"1639","No","Yes","Yes",68,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","Two year","Yes","Credit card (automatic)",84.4,5746.75,"No"
"1641","No","Yes","Yes",7,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.65,134.05,"No"
"1642","No","Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",87.1,6230.1,"No"
"1643","No","Yes","No",29,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.85,573.05,"No"
"1645","No","No","No",34,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Mailed check",109.8,3587.25,"Yes"
"1646","Yes","No","No",42,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",84.65,3541.35,"Yes"
"1648","No","Yes","Yes",11,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",79.5,868.5,"Yes"
"1652","Yes","No","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",79.1,79.1,"Yes"
"1655","No","Yes","Yes",1,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",18.8,18.8,"No"
"1658","No","No","No",35,"Yes","Yes","No","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",25.6,901.25,"No"
"1664","No","Yes","No",51,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.65,4812.75,"Yes"
"1668","No","No","No",14,"Yes","Yes","No","No","No","No","No","No","No","One year","Yes","Credit card (automatic)",24.8,321.7,"No"
"1670","No","No","No",8,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",74.6,548.9,"No"
"1671","Yes","No","Yes",1,"Yes","No","DSL","No","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",50.15,50.15,"Yes"
"1674","No","Yes","No",41,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",113.6,4594.95,"Yes"
"1675","No","Yes","Yes",23,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Mailed check",25.1,611.45,"No"
"1676","No","No","No",29,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",78.9,2384.15,"Yes"
"1678","No","Yes","Yes",6,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Mailed check",25.4,153.3,"No"
"1682","No","Yes","No",72,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",25,1849.2,"No"
"1688","No","Yes","Yes",12,"Yes","Yes","No","No","No","No","No","No","No","One year","No","Mailed check",26.4,314.95,"No"
"1689","No","No","No",40,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",20.15,804.85,"No"
"1691","No","Yes","Yes",70,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",97.55,6669.05,"No"
"1692","No","Yes","Yes",60,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",19.65,1161.75,"No"
"1694","No","Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",114.45,8375.05,"No"
"1695","No","No","No",1,"No","No","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",34.7,34.7,"Yes"
"1699","No","Yes","Yes",71,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","Two year","Yes","Electronic check",84.8,6152.4,"No"
"1700","No","No","No",42,"Yes","No","No","No","No","No","No","No","No","One year","Yes","Mailed check",20.65,958.1,"No"
"1705","No","No","Yes",1,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.75,99.75,"Yes"
"1707","No","No","No",69,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","No","Two year","Yes","Credit card (automatic)",97.65,6743.55,"No"
"1711","No","No","No",5,"Yes","Yes","Fiber optic","No","No","Yes","Yes","No","No","Month-to-month","Yes","Electronic check",82.75,417.75,"No"
"1712","No","Yes","No",71,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Credit card (automatic)",24.4,1725.4,"No"
"1716","No","Yes","Yes",46,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.4,967.85,"No"
"1720","No","No","No",3,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",107.95,318.6,"No"
"1722","No","No","No",9,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",74.25,639.65,"Yes"
"1723","No","No","No",51,"No","No","DSL","No","Yes","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",56.4,2928.5,"No"
"1726","Yes","No","No",17,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.2,1608.15,"No"
"1727","No","Yes","No",30,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",49.9,1441.95,"No"
"1729","No","No","No",45,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",81.65,3618.7,"No"
"1730","No","Yes","No",64,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","One year","No","Bank transfer (automatic)",89.45,5692.65,"No"
"1732","Yes","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.6,69.6,"Yes"
"1733","Yes","Yes","Yes",61,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","One year","No","Electronic check",99,5969.3,"No"
"1735","No","No","No",9,"No","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",45.4,418.8,"Yes"
"1738","No","Yes","No",7,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",44.25,313.45,"No"
